# Model, Target Length, Load time / s, Run time / s
gaussian_12_12_rnd 0 3.451  25.707 
gaussian_12_12_rnd 0 3.478  25.708 
gaussian_12_12_rnd 0 3.444  25.707 
gaussian_12_12_rnd 0 3.450  25.707 
gaussian_12_12_rnd 0 3.451  25.705 
gaussian_12_12_rnd 0 3.444  25.706 
gaussian_12_12_xyp 1024 3.486  13.856 
gaussian_12_12_xyp 1024 3.461  13.857 
gaussian_12_12_xyp 1024 3.449  13.855 
gaussian_12_12_xyp 1024 3.430  13.856 
gaussian_12_12_xyp 1024 3.432  13.855 
gaussian_12_12_xyp 1024 3.461  13.856 
gaussian_12_12_xyp 1024 3.458  13.855 
gaussian_12_12_xyp 1024 3.438  13.855 
gaussian_12_12_xyp 1024 3.480  13.856 
gaussian_12_12_xyp 1024 3.473  13.854 
gaussian_12_12_xyp 0 3.484  25.596 
gaussian_12_12_xyp 0 3.409  25.601 
gaussian_12_12_xyp 0 3.429  25.595 
gaussian_12_12_xyp 0 3.487  25.596 
gaussian_12_12_xyp 0 3.446  25.595 
gaussian_12_12_xyp 0 3.420  25.597 
gaussian_12_12_xyp 0 3.464  25.597 
gaussian_12_12_xyp 0 3.457  25.596 
gaussian_12_12_xyp 0 3.484  25.596 
gaussian_12_12_xyp 0 3.425  25.597 
gaussian_12_12_xyzp 1024 3.378  12.748 
gaussian_12_12_xyzp 1024 3.462  12.748 
gaussian_12_12_xyzp 1024 3.444  12.748 
gaussian_12_12_xyzp 1024 3.435  12.746 
gaussian_12_12_xyzp 1024 3.483  12.748 
gaussian_12_12_xyzp 1024 3.413  12.747 
gaussian_12_12_xyzp 1024 3.452  12.748 
gaussian_12_12_xyzp 1024 3.437  12.746 
gaussian_12_12_xyzp 1024 3.426  12.747 
gaussian_12_12_xyzp 1024 3.450  12.748 
gaussian_12_12_xyzp 0 3.453  21.940 
gaussian_12_12_xyzp 0 3.430  21.943 
gaussian_12_12_xyzp 0 3.461  21.939 
gaussian_12_12_xyzp 0 3.422  21.941 
gaussian_12_12_xyzp 0 3.466  21.941 
gaussian_12_12_xyzp 0 3.409  21.941 
gaussian_12_12_xyzp 0 3.434  21.941 
gaussian_12_12_xyzp 0 3.474  21.941 
gaussian_12_12_xyzp 0 3.431  21.945 
gaussian_12_12_xyzp 0 3.323  21.949 
